,FTR,season_period,xg1_5g_avg,xg2_5g_avg,gd_5g_avg,elo_diff,game1_D,game1_H,game2_D,game2_H,game3_D,game3_H,game4_D,game4_H,game5_D,game5_H
396,0,1,1.4600000000000002,0.52,2.8,206.11865233999993,0,1,0,1,0,1,0,1,0,1
500,0,1,1.332,1.2,0.2,47.96179200000006,0,1,0,0,1,0,0,1,0,0
820,0,1,2.416,0.6499999999999999,2.2,-16.251831060000086,0,1,0,1,0,1,1,0,0,1
448,0,1,1.7899999999999998,0.6,0.6,197.30175781999992,1,0,1,0,1,0,0,1,0,1
240,1,1,1.092,1.1760000000000002,-0.6,62.66479492000008,0,0,1,0,0,1,0,1,0,0
585,1,1,1.67,1.512,-0.2,-13.316040030000067,1,0,0,0,0,1,0,1,0,0
292,0,1,1.6280000000000001,1.4,1.0,249.13598632000003,1,0,1,0,0,1,0,1,0,1
670,1,1,1.086,1.044,0.4,-197.64819336000005,0,1,0,1,0,0,0,1,1,0
108,0,1,1.4200000000000002,1.3459999999999999,0.4,-7.452758789999962,0,1,1,0,1,0,0,1,0,0
174,0,1,2.0320000000000005,0.67,0.2,213.29992676000006,1,0,1,0,0,0,0,1,0,1
226,2,1,1.278,1.308,0.4,-126.87976073999994,0,1,0,0,0,1,0,0,0,1
755,2,1,0.9780000000000001,1.396,0.2,-246.05712889999995,0,0,0,1,0,1,0,0,0,1
722,0,1,1.152,1.332,0.4,124.66784684999993,0,0,0,1,0,1,0,1,0,0
769,1,1,1.3820000000000001,1.4120000000000001,-0.2,-134.28942871000004,0,1,1,0,0,0,0,1,0,1
344,2,1,1.4140000000000001,1.246,-0.2,-234.19445801000006,1,0,0,0,0,1,0,1,0,0
56,1,1,0.808,1.4580000000000002,-0.4,24.35168457000009,0,0,0,0,0,1,0,0,0,0
552,0,1,1.516,1.034,0.6,42.81359864000001,0,1,0,0,0,1,1,0,1,0
618,0,1,2.5700000000000003,0.976,2.0,-42.110839839999926,1,0,0,1,0,1,0,1,0,1
6,0,1,1.524,1.528,1.0,-69.08618163999995,0,1,0,0,0,1,0,1,0,1
161,0,1,0.9380000000000001,1.7280000000000002,-0.4,-99.3249512299999,0,1,1,0,1,0,0,0,1,0
501,1,1,1.284,1.214,0.0,-136.22827149,0,0,1,0,0,1,0,0,0,1
756,1,1,1.1999999999999997,1.4,0.8,-65.53088378999996,0,1,0,1,0,0,0,1,1,0
586,1,1,1.4919999999999998,1.814,-0.8,-264.04614258000015,0,0,0,1,0,1,0,0,0,0
619,0,1,2.396,1.058,2.4,164.43859862999966,0,1,0,1,0,1,0,1,0,1
671,2,1,1.09,1.568,-0.4,6.290405279999959,0,1,0,0,0,1,1,0,0,0
770,0,1,1.3,1.6179999999999999,-0.8,55.44445799999994,1,0,0,0,0,1,0,1,0,0
109,0,1,1.486,1.254,0.6,-133.2559814499998,1,0,1,0,0,1,0,0,0,1
449,2,1,1.6939999999999997,0.664,0.8,-25.759155270000065,1,0,1,0,0,1,0,1,0,1
345,2,1,1.616,1.346,-0.2,20.41479491999985,0,0,0,1,0,1,0,0,1,0
57,1,1,0.8119999999999999,1.2959999999999998,-0.2,-138.64562989,0,0,0,1,0,0,0,0,0,0
821,1,1,1.9739999999999998,0.568,2.2,244.5645751899999,0,1,0,1,1,0,0,1,0,1
175,2,1,1.948,0.742,0.4,-18.650390630000174,1,0,0,0,0,1,0,1,0,1
227,1,1,1.138,1.1019999999999999,0.0,-64.79406739000001,0,0,0,1,0,0,0,1,1,0
553,2,1,1.562,0.9239999999999998,0.6,-132.80163574000017,0,0,0,1,1,0,1,0,0,1
723,0,1,1.184,1.1099999999999999,1.6,79.84729003999996,0,1,0,1,0,1,0,0,0,1
293,0,1,1.864,1.142,1.4,233.38073729999996,1,0,0,1,0,1,0,1,0,1
397,0,1,1.3920000000000001,0.46799999999999997,2.4,318.92163071000004,0,1,0,1,0,1,0,1,0,1
241,0,1,1.052,1.0619999999999998,-0.4,-24.379394530000127,1,0,0,1,0,1,0,0,0,0
294,1,1,2.12,1.19,1.6,264.46716309,0,1,0,1,0,1,0,1,0,1
346,1,1,1.3299999999999998,1.316,0.0,35.0407714800001,0,1,0,1,0,0,1,0,1,0
7,0,1,1.238,1.2660000000000002,1.0,-66.81005858999993,0,0,0,1,0,1,0,1,0,1
822,2,1,1.456,0.7,1.0,-50.16809081999986,0,1,1,0,0,1,0,1,0,0
228,2,1,1.296,1.3119999999999998,-0.2,-83.88684082000009,0,1,0,0,0,1,1,0,0,0
757,2,1,1.312,1.3539999999999999,-0.2,-264.51306151999984,0,1,0,0,0,1,1,0,0,0
587,0,1,1.47,2.064,-1.2,-93.61132812000005,0,1,0,1,0,0,0,0,0,0
450,2,1,1.7939999999999998,0.8079999999999998,0.8,257.3703615899999,1,0,0,1,0,1,0,1,1,0
554,2,1,1.262,1.1380000000000001,0.8,-60.61474609000015,0,1,1,0,1,0,0,1,1,0
771,1,1,1.556,1.6260000000000001,-0.2,-146.18383789000018,0,0,0,1,0,1,0,0,0,1
398,0,1,1.326,0.534,1.8,16.224365229999876,0,1,0,1,0,1,0,1,0,1
58,1,1,0.7879999999999999,1.1300000000000001,-0.2,16.21594239000001,0,1,0,0,0,0,0,0,0,0
110,0,1,1.268,1.176,1.4,131.3592529299999,1,0,0,1,0,0,0,1,0,1
162,0,1,1.028,1.6479999999999997,-0.2,-264.52917492999995,1,0,1,0,0,0,1,0,0,1
242,1,1,1.5180000000000002,0.8959999999999999,0.2,24.979736329999923,0,1,0,1,0,0,0,0,0,1
620,0,1,2.47,0.716,3.0,249.97900389999995,0,1,0,1,0,1,0,1,0,1
672,0,1,1.1139999999999999,1.3980000000000001,-0.6,-19.767333980000103,0,0,0,1,1,0,0,0,1,0
724,0,1,1.234,1.11,1.2,-3.4943847700001243,0,1,0,1,0,0,0,1,0,1
502,1,1,1.2,1.202,-0.4,-106.67675781000003,1,0,0,1,0,0,0,1,0,0
176,0,1,1.986,0.9400000000000001,0.4,220.95971680000002,0,0,0,1,0,1,0,1,1,0
295,0,1,1.7759999999999998,0.966,1.0,273.01135219,0,1,0,1,0,1,0,1,0,0
823,0,1,1.346,0.826,0.6,-39.90930174999994,1,0,0,1,0,1,0,0,1,0
451,0,1,1.7580000000000002,0.7659999999999999,0.8,182.6326904299999,0,1,0,1,0,1,1,0,1,0
229,2,1,1.1540000000000001,1.558,-0.4,-155.60791015000018,0,0,0,1,1,0,0,0,1,0
555,0,1,1.394,1.1480000000000001,0.4,88.47412108999993,1,0,1,0,0,1,1,0,1,0
758,1,1,1.082,1.21,-0.4,-69.84936524,0,0,0,1,1,0,0,0,1,0
772,2,1,1.472,1.5879999999999999,-0.2,1.0594482399999379,0,1,0,1,0,0,0,1,0,0
8,2,1,1.47,0.9199999999999999,1.4,-245.71191406000003,0,1,0,1,0,1,0,1,0,1
588,0,1,1.0459999999999998,1.848,-1.2,-66.90478515999985,0,1,0,0,0,0,0,0,0,1
347,1,1,0.85,1.328,-0.6,-237.53845215,0,1,0,0,1,0,1,0,0,0
399,0,1,1.4860000000000002,0.646,2.0,251.45239257000003,0,1,0,1,0,1,0,1,0,1
59,0,1,0.8239999999999998,1.098,-1.6,-13.244140630000174,0,0,0,0,0,0,0,0,0,0
111,0,1,1.456,1.584,2.0,151.26989746000004,0,1,0,0,0,1,0,1,0,1
163,2,1,1.258,1.7259999999999998,0.2,-67.26818864999996,1,0,0,0,1,0,0,1,0,1
673,2,1,1.274,1.512,-0.2,-54.29870605999986,0,1,1,0,0,0,1,0,0,1
725,0,1,1.392,1.0739999999999998,1.0,86.88830566999991,0,1,0,0,0,1,0,1,0,1
621,0,1,2.104,0.8400000000000001,2.2,135.64733886000022,0,1,0,1,0,1,0,1,0,1
503,0,1,0.9019999999999999,1.548,-1.0,-144.37329102000012,0,1,0,0,0,1,0,0,0,0
504,0,1,0.8039999999999999,1.466,-1.0,110.23657208999998,0,0,0,1,0,0,0,0,0,1
824,0,1,1.516,0.8379999999999999,1.0,-42.70080566999991,0,1,0,1,0,0,1,0,0,1
452,2,1,2.238,0.788,1.0,236.63745117000008,0,1,0,1,1,0,1,0,0,1
556,0,1,1.478,1.052,0.6,83.74304198999994,1,0,0,1,1,0,1,0,0,1
589,0,1,0.756,1.844,-1.4,-17.713378909999847,0,0,0,0,0,0,0,1,0,1
674,1,1,1.116,1.5839999999999999,-0.4,-67.92419433999999,1,0,0,0,1,0,0,1,1,0
726,1,1,1.268,1.022,0.8,101.85412597999994,0,0,0,1,0,1,0,1,0,1
759,1,1,1.012,1.3439999999999999,-1.0,-264.8834228500002,0,1,1,0,0,0,1,0,0,0
622,0,1,1.902,0.858,2.4,71.1713867200001,0,1,0,1,0,1,0,1,0,1
773,1,1,1.348,1.51,-0.4,-198.86499024,0,1,0,0,0,1,0,0,1,0
177,2,1,2.0520000000000005,0.7,1.0,181.4122314499998,0,1,0,1,0,1,1,0,0,1
