,team1,team2,HomeWin,Draw,AwayWin,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA,FTR
23,Leicester City,Middlesbrough,0.212,0.16899999999999998,0.62,0.5235602094240838,0.2777777777777778,0.2222222222222222,0.5405405405405405,0.29411764705882354,0.2173913043478261,0.5555555555555556,0.2777777777777778,0.2222222222222222,0.53475935828877,0.273972602739726,0.21186440677966104,0.5235602094240838,0.29411764705882354,0.2222222222222222,0.5235602094240838,0.2857142857142857,0.2173913043478261,0.5181347150259068,0.29325513196480935,0.20833333333333334,2
24,Liverpool,Sunderland,0.737,0.17300000000000001,0.09,0.8547008547008548,0.11764705882352941,0.05263157894736842,0.8547008547008548,0.13333333333333333,0.06451612903225806,0.8333333333333334,0.15384615384615385,0.06666666666666667,0.8403361344537815,0.1152073732718894,0.06226650062266501,0.8333333333333334,0.14285714285714285,0.058823529411764705,0.8474576271186441,0.125,0.05555555555555555,0.8403361344537815,0.1111111111111111,0.06666666666666667,0
25,Swansea City,Crystal Palace,0.64,0.28,0.08,0.3802281368821293,0.29411764705882354,0.3472222222222222,0.3921568627450981,0.3125,0.3448275862068966,0.4166666666666667,0.30303030303030304,0.3389830508474576,0.37453183520599254,0.30120481927710846,0.3448275862068966,0.38167938931297707,0.3125,0.3448275862068966,0.37037037037037035,0.29411764705882354,0.35714285714285715,0.3676470588235294,0.3003003003003003,0.35211267605633806,0
26,Arsenal,Bournemouth,0.278,0.183,0.539,0.7142857142857143,0.2,0.1111111111111111,0.7042253521126761,0.21052631578947367,0.13333333333333333,0.7407407407407407,0.18867924528301888,0.125,0.6993006993006994,0.1984126984126984,0.12422360248447203,0.7142857142857143,0.20833333333333334,0.11764705882352941,0.6944444444444444,0.2,0.125,0.7462686567164178,0.1773049645390071,0.09900990099009901,0
27,ManUtd,WestHam,0.36700000000000005,0.22,0.414,0.6896551724137931,0.21052631578947367,0.125,0.6756756756756757,0.2222222222222222,0.14814814814814814,0.6896551724137931,0.2222222222222222,0.14285714285714285,0.6666666666666666,0.21645021645021645,0.13404825737265416,0.6666666666666666,0.23094688221709006,0.14285714285714285,0.6896551724137931,0.2173913043478261,0.13333333333333333,0.7352941176470588,0.17953321364452424,0.10810810810810811,2
28,Southampton,Everton,0.3,0.16,0.54,0.45454545454545453,0.29411764705882354,0.2777777777777778,0.47619047619047616,0.30303030303030304,0.27027027027027023,0.47619047619047616,0.29411764705882354,0.2857142857142857,0.4566210045662101,0.29850746268656714,0.2645502645502646,0.45454545454545453,0.3125,0.2777777777777778,0.45454545454545453,0.30303030303030304,0.27027027027027023,0.46511627906976744,0.2881844380403458,0.267379679144385,0
29,Watford,Stoke City,0.413,0.172,0.41600000000000004,0.4166666666666667,0.30303030303030304,0.30303030303030304,0.4347826086956522,0.30303030303030304,0.3125,0.4166666666666667,0.30303030303030304,0.3389830508474576,0.41841004184100417,0.30120481927710846,0.30120481927710846,0.4166666666666667,0.3125,0.3125,0.4081632653061224,0.30303030303030304,0.3125,0.4484304932735426,0.3021148036253776,0.2695417789757412,1
30,Crystal Palace,Southampton,0.64,0.22,0.14,0.2857142857142857,0.30303030303030304,0.4347826086956522,0.3125,0.29411764705882354,0.4444444444444444,0.3389830508474576,0.30303030303030304,0.4166666666666667,0.27932960893854747,0.2949852507374631,0.4464285714285714,0.29411764705882354,0.3125,0.4347826086956522,0.2857142857142857,0.29411764705882354,0.4444444444444444,0.27322404371584696,0.29239766081871343,0.45454545454545453,0
31,ManCity,Chelsea,0.43200000000000005,0.04,0.528,0.46511627906976744,0.2777777777777778,0.2777777777777778,0.46511627906976744,0.2857142857142857,0.2777777777777778,0.5,0.29411764705882354,0.2631578947368421,0.4672897196261682,0.2785515320334262,0.2747252747252747,0.45454545454545453,0.30303030303030304,0.2857142857142857,0.47619047619047616,0.2857142857142857,0.2777777777777778,0.46511627906976744,0.28653295128939826,0.26881720430107525,1
32,Stoke City,Burnley,0.327,0.226,0.447,0.6172839506172839,0.25,0.15384615384615385,0.625,0.26666666666666666,0.16,0.5882352941176471,0.27027027027027023,0.2,0.6097560975609756,0.24390243902439027,0.16583747927031509,0.6172839506172839,0.26666666666666666,0.15384615384615385,0.6172839506172839,0.25,0.15384615384615385,0.6172839506172839,0.24752475247524752,0.15503875968992248,0
